business_id,name,state,city,postal_code,latitude,longitude,stars,review_count
I0gSLthWBsiUPzBft_CZ9Q,Marino's Auto Repair,PA,Philadelphia,19145,39.9254629,-75.173622,4.5,15
9X1_a2DQwBtXza-U1CfA1g,Century Auto Body,PA,Bala Cynwyd,19004,40.0035262,-75.2315294,4.0,13
6MuGlWEZzKA2YtlY44Cksw,Pep Boys,PA,Glenolden,19036,39.9058765,-75.2917441,2.5,17
ufvaaDCkJj5pW4f7_DSN5w,Firestone Complete Auto Care,PA,Langhorne,19047,40.18039,-74.87721,3.0,13
5bCsL-Z3QnuBmJQtIt8qyw,Pacifico Hyundai,PA,Philadelphia,19153,39.912338414,-75.2230943868,2.5,46
Uc97dMY2Ml9JG6uLjPQz2A,DeGrandis Automotive Center,PA,Malvern,19355,40.0427175,-75.5376779,5.0,5
wzAGD9Pe7V7CIP2Npu3RFg,Keeble's Service,PA,Warminster,18974,40.1983653,-75.0865462,5.0,7
Gvq5Artc4F4M2zmF7ZHeqA,Rapco Automotive Centers,PA,Upper Darby,19082,39.9686127,-75.2934923,5.0,10
GpN4ZVRZaU2jaixGjqCCXQ,CJ's Tire & Automotive,PA,Lionville,19341,40.0548501663,-75.6648682058,2.0,14
IYMvwRM6WR4C0WC1A8em3A,Fred Beans Nissan of Doylestown,PA,Doylestown,18902,40.3331505,-75.1375955,2.5,26
p7RzIdqbVGD-qaqPx2WRtw,Fretz RV,PA,Souderton,18964,40.3185418,-75.3031801,3.0,52
Mzs8Pq6C-hp4CTOAxBhLuw,Miller Tire & Auto,PA,Perkasie,18944,40.3647894,-75.2417304,5.0,8
6SGw7TF7F4q4Uc2cuGvwIA,Z Brothers Service Center,PA,Philadelphia,19115,40.0918468,-75.0317717,3.0,13
1UiSJ99GWI9X0x6I57lf1w,Gallagher's Auto Service,PA,Malvern,19355,40.0359088,-75.5154548,5.0,7
FF_IVF3GTZgJB5Arj1VPhw,Crawford's Auto Center Inc,PA,Downingtown,19335,40.028783,-75.682248,4.0,8
YxhdfdhRZjJHPFxaADnNVg,Conicelli Toyota of Conshohocken,PA,Conshohocken,19428,40.0964353,-75.2949047,3.0,142
GSkye5NBfFMmzyH_azwT2w,Tony's Auto Repair,PA,Yardley,19067,40.2442763,-74.8358634,4.0,16
1hQobBzUoF-H26URYtT2WA,Philadelphia Auto Body,PA,Philadelphia,19146,39.9396758,-75.1956916,4.5,63
fnv0PrzcWoopJKuVMpCcdA,United Tire & Service of North East Philadelphia,PA,Philadelphia,19149,40.046887,-75.0601876,4.5,6
v3zGANsBCSOpLUjTzcCxdQ,Meineke Car Care Center,PA,Paoli,19301,40.0421655301,-75.4974486988,4.0,15
8vjvVJ_U8WXFPYR8uoczWQ,Carlson's Auto Body,PA,Media,19063,39.9128743,-75.4388882,5.0,5
HV0RS_cHVHatqYwC1j_qsw,Bergey's Chevrolet,PA,Colmar,18915,40.2763561,-75.2608947,3.0,33
guUDJ4iPHHFt1vE6YR1jeg,Scrappy’s Auto Service,PA,Langhorne,19047,40.162305,-74.908206,3.0,5
cXYZmvo38wJJqUjWtsx3XA,Lower Merion Tire & Service,PA,Ardmore,19003,40.0047233,-75.2853508,3.5,7
8zTCu7guUenvlLeKya0AXg,Bimmerworks,PA,West Chester,19382,39.9591566,-75.5882987,4.5,13
Fjg_y2nwJHS50eiWD9ByxA,JN Automotive,PA,Lansdale,19446,40.2212887,-75.3028156,4.5,6
xLi6xWu3es1oSDj6C6edrg,Auto Appearance,PA,Bala Cynwyd,19004,40.0075,-75.217084,4.5,7
tkj5cwIPLlJstisrVzpAZw,Garrett Hill Auto Service,PA,Bryn Mawr,19010,40.0254821,-75.3380978,4.5,19
0swhXnJu34189_Kg8e9qOw,Scott Select Used Cars,PA,West Chester,19382,39.9561168782,-75.582884395,3.5,9
XwJjTeb6yi0HFjps0Iydiw,Mavis Discount Tire,PA,Brookhaven,19015,39.874898,-75.3947456843,1.5,33
7I3PZfd4JgsO1kJZQi6iEQ,John Brothers Automotive,PA,Conshohocken,19428,40.0742381,-75.3046769,5.0,7
U87JPtleZ7YH_zPR_3-gfw,Audi Warrington,PA,Warrington,18976,40.2646615967,-75.1299769629,3.5,20
qs1OfRzlrVEUZAL01ViP0g,Just Tires,PA,Exton,19341,40.0364317962,-75.6328682336,4.0,8
-rGocJekjtLnrn3MYKxJVg,Joey C's Towing and Collision,PA,Philadelphia,19134,39.9815576,-75.0926421,3.5,6
jWVZLCFlRU9R3UuIBhquAA,Mall Auto Service,PA,Montgomeryville,18936,40.2407443,-75.2425508,4.5,12
ZRJWPPueDrRSa1T5UstoCw,Atlast Auto Center,PA,Media,19063,39.9276096645,-75.3849706426,4.5,13
wk7T5Xfgs4eQy5kpw38kFw,Montgomeryville Acura,PA,Montgomeryville,18936,40.2238765,-75.2314066,3.0,47
ILi7_ep3fBfUZdJrXLGW2g,Midas,PA,Philadelphia,19150,40.0763604,-75.158563411,2.5,25
9UMCi0Lh-nAn9Bona7rQgg,Bristol & Taylor Garage,PA,Bensalem,19020,40.1325296,-74.9248902,4.0,7
PpUFhDowFZ1g4T0uue0jEw,Burns Auto Repair,PA,Newtown,18940,40.2303815,-74.938071,4.0,13
-tx2Fb2MWnEqiCmr23uOrQ,The Body Shop Center City,PA,Philadelphia,19123,39.9598051,-75.1420422,1.5,7
-Wyh5nrgFXVlkkbb1xC1yg,McCoy's Auto Service Center,PA,Philadelphia,19121,39.9813505,-75.173166,2.0,6
aVX1c-_bCki6u14y7_QCIg,Exotic Customs,PA,West Chester,19382,39.9608842794,-75.5955408023,4.5,7
MkJ5kdhX3Jl48ykeMEVVIw,Martin Main Line Honda,PA,Ardmore,19003,40.0060651,-75.2864595,2.0,159
icgaK82qy5NGr1uLVFejyQ,Pacifico Marple Ford Lincoln,PA,Broomall,19008,39.984288,-75.374993,3.5,50
Kc14afuSa5Epecu8HDYFuA,Audi Fort Washington,PA,Fort Washington,19034,40.1354623065,-75.2090149192,3.5,59
i4x_9Iq6yL-uAAVPVfA45Q,John Kennedy Collision Center,PA,Conshohocken,19428,40.1013455,-75.3127018,2.5,5
6bF90BK6byDOVcPtKWe7Qw,Mobil 1 Lube Express,PA,Philadelphia,19136,40.0438253,-75.0221644,4.0,6
NEdtfHemM4_L1pWBcdladA,Fred Beans Hyundai,PA,Doylestown,18902,40.3335902,-75.1369798,2.5,50
_CPadEW3NDmg0NyIxUq4fQ,RR Racing,PA,Exton,19341,40.023585,-75.638816,3.0,6
vgysY55Pkvay_U_jXIEFTg,Abington Auto Care,PA,Willow Grove,19090,40.1396246,-75.1164029,2.5,6
LCYE3aQGQf74Z13U2g81Lg,Plymouth Auto & Tire Center,PA,Plymouth Meeting,19428,40.0970399,-75.2842172,2.0,71
0eydPHL0lfZYRuxOddnreQ,Yardley Auto Body,PA,Morrisville,19067,40.2026639,-74.7735256,3.5,6
ZAPCUuZBUKbhLF5tiyxDig,Pep Boys,PA,Philadelphia,19147,39.9353442,-75.1667137,2.5,118
W-HuChHyIVIpVJBfx0kSfQ,Phillips Automotive & Performance,PA,Downingtown,19335,40.0020256,-75.6955317,5.0,6
sAhgC6Pq6q6z9lOr1zu9Cw,LNT Service,PA,West Chester,19380,39.9630332,-75.592846,5.0,11
oizc39U8lP8-13kK_PkEVw,Pep Boys,PA,Norristown,19401,40.1454249,-75.3169668,2.0,32
yj3R0eYVlR3A0b1BEaVKYA,Thompson Lexus Doylestown,PA,Doylestown,18901,40.328343,-75.131643,3.0,36
r8gB1EKj-YDfmfOm30TSHA,Cee Johnson's Auto Service,PA,Philadelphia,19139,39.9591838,-75.2322698,2.5,5
y--UQiSyVPAmWjRkZ9tdPQ,Pep Boys,PA,Philadelphia,19138,40.0577619,-75.1641145,3.0,34
MNfu3Xc7LL4SU8JKKK0KIA,AAMCO Transmissions & Total Car Care,PA,Bristol,19007,40.129979,-74.8856857,2.5,10
tkJRnUUhHqp3XB6SEQC7-g,Midas,PA,Philadelphia,19104,39.9573379358,-75.2055199926,2.5,41
QPwEwRE5jiOS3d8IqwxVbA,First Choice Auto Repair,PA,Philadelphia,19111,40.0722409,-75.0842678,4.0,10
54NQk8KBYd8lMD3bLVbrAQ,Pep Boys,PA,Warminster,18974,40.212029,-75.1102,2.0,27
F3LfiOx67lUITMrwPQJ_-w,Zaccone Motors,PA,Ambler,19002,40.1530109,-75.2191448,2.0,5
1wvgDi3NJe_qFPPehYIw9g,Shall-Martin Garage,PA,Newtown Square,19073,39.9851033943,-75.3992623733,5.0,6
fFG_tetXNiW9u0lN1W2dBQ,Prowax Auto Detailing,PA,Philadelphia,19103,39.9537107,-75.1695108,1.0,12
rl1OBtGLEmYwzysjb7gQKg,Sport Chrysler Jeep Dodge Ram,PA,Norristown,19403,40.1237834,-75.3639443,2.5,28
VMc3S6DJQ0G9FtAdbN2Lgg,Upper Gwynedd Service Center,PA,Lansdale,19446,40.2205377,-75.3024511,4.0,7
VcTddMHnMZeKibhRFWuqVw,Wagenwerx,PA,Wyndmoor,19038,40.082835,-75.1876655,5.0,11
I2JnBSZD70_0VvEoPPh0Xw,CS Cantlin Automotive Mercedes Benz & Luxury Vehicle Service,PA,Conshohocken,19428,40.0661395,-75.324684,4.0,16
TyOe_EcbyAWMmPgg_ILwHQ,Pep Boys,PA,Broomall,19008,39.9827404349,-75.374589891,2.5,68
yamAA4kSOegaxFjhGhI0OQ,Tires Plus,PA,Springfield,19064,39.9172624,-75.3346132,2.5,26
voBKS7xPilHv3iWD54SOfw,Blatt Tire & Auto Repair,PA,Philadelphia,19116,40.112617,-75.003706,2.0,7
