business_name,business_id,fault_type,quarter,repair_count
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,body_and_exterior,1.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,brakes,1.0,7
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,engine,1.0,9
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,steering,1.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,transmission,1.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,wheels_and_tires,1.0,3
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,body_and_exterior,2.0,3
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,brakes,2.0,6
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,electrical_system,2.0,2
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,engine,2.0,10
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,exhaust_system,2.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,interior,2.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,lighting,2.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,miscellaneous,2.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,transmission,2.0,5
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,wheels_and_tires,2.0,4
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,body_and_exterior,3.0,3
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,brakes,3.0,3
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,engine,3.0,7
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,exhaust_system,3.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,lighting,3.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,steering,3.0,2
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,suspension,3.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,transmission,3.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,wheels_and_tires,3.0,5
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,body_and_exterior,4.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,brakes,4.0,6
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,electrical_system,4.0,4
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,engine,4.0,9
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,lighting,4.0,2
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,transmission,4.0,1
11th Street Auto Repair,X1AeBeua7lzXCqxnLpq17g,wheels_and_tires,4.0,3
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,brakes,1.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,interior,1.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,wheels_and_tires,1.0,3
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,brakes,2.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,engine,2.0,3
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,interior,2.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,steering,2.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,wheels_and_tires,2.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,brakes,3.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,electrical_system,3.0,2
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,engine,3.0,2
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,wheels_and_tires,3.0,2
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,body_and_exterior,4.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,engine,4.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,lighting,4.0,1
1939 Auto,d9vJVJM2DifqWYN4Q4-gow,wheels_and_tires,4.0,2
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,brakes,2.0,3
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,wheels_and_tires,2.0,1
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,brakes,3.0,1
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,lighting,3.0,1
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,body_and_exterior,4.0,1
1st Rate Auto & Truck Repair,Fp0S9XtlpiYsSWfc3q3wWg,wheels_and_tires,4.0,1
3D Auto Body & Collision Centers,1Nft9b1Wuk5Pl_mQIEptcQ,body_and_exterior,1.0,1
