fault_type,1.0,2.0,3.0,4.0
,4106.0,4112.0,4650.0,3929.0
body_and_exterior,458.0,479.0,556.0,418.0
brakes,260.0,283.0,325.0,260.0
climate_control,1.0,7.0,8.0,4.0
electrical_system,191.0,176.0,216.0,201.0
engine,458.0,358.0,439.0,392.0
exhaust_system,13.0,16.0,28.0,19.0
fuel_system,1.0,3.0,0.0,3.0
interior,68.0,58.0,91.0,82.0
lighting,118.0,103.0,118.0,142.0
miscellaneous,21.0,24.0,24.0,24.0
safety_systems,0.0,2.0,0.0,0.0
steering,73.0,88.0,91.0,50.0
suspension,44.0,47.0,52.0,53.0
transmission,131.0,136.0,134.0,133.0
wheels_and_tires,796.0,801.0,909.0,794.0
