business_id,business_name,fault_type,repair_count,avg_rating,composite_score
3c3okC0udBKZD_fASFrI-A,Mid City Tire & Auto,wheels_and_tires,136,4.5,22.139914166226564
dlUC6JbDuv4nOIPDhw5AVg,Creamery Tire,wheels_and_tires,89,4.5,20.249143516486193
AhdX38dZJjyXspHCxr9odQ,CDM Tires,wheels_and_tires,38,5.0,18.317808230648232
X1AeBeua7lzXCqxnLpq17g,11th Street Auto Repair,engine,35,4.5,16.125835223052494
DXNKGOCVmFP5iU8owhK2Fw,Nigro's Auto Body,body_and_exterior,32,4.5,15.73428402659916
PNhX-dBU4CSGoMaFFUkReg,AOK Auto Body & Glass,body_and_exterior,32,4.5,15.73428402659916
Cdt9D6XfEF7FBHRBbj-BgQ,Blatt Tire & Auto Repair,wheels_and_tires,40,4.0,14.854288266817232
xqZEtPWPfaGQva5mW5ADBQ,Dent Tekniks,body_and_exterior,18,5.0,14.722194895832201
0zWYKUPvImD7ufl1RQ1jhw,Don's Auto Repair,brakes,17,5.0,14.451858789480823
0zWYKUPvImD7ufl1RQ1jhw,Don's Auto Repair,wheels_and_tires,17,5.0,14.451858789480823
JcM30w-_hz8CrRIxWQLyUQ,United Tire & Service of Paoli,wheels_and_tires,16,5.0,14.16606672028108
X1AeBeua7lzXCqxnLpq17g,11th Street Auto Repair,brakes,22,4.5,14.109723971681174
jQF5CzbdfeZ8VX9LS52_vg,Pennsylvania Tire & Auto,wheels_and_tires,14,5.0,13.54025100551105
iVAw6Xl4051W1lUeLEUw3w,CK Auto Image Repairs,wheels_and_tires,14,5.0,13.54025100551105
1hQobBzUoF-H26URYtT2WA,Philadelphia Auto Body,body_and_exterior,19,4.5,13.480795230992959
0zWYKUPvImD7ufl1RQ1jhw,Don's Auto Repair,engine,13,5.0,13.195286648076292
AxEEVco0Hh3f7Tix6zNrqQ,Vec Tire,wheels_and_tires,13,5.0,13.195286648076292
5pg99NrskP3sTKQRjv7ezA,Eppie's Discount Tire & Auto,wheels_and_tires,25,4.0,13.032386152085929
3c3okC0udBKZD_fASFrI-A,Mid City Tire & Auto,body_and_exterior,17,4.5,13.00667291053274
mVxWWmXD_kAH3yHHoM-zBg,My Auto Dents,body_and_exterior,17,4.5,13.00667291053274
CdUKLdjPa74XSF7XdWLu1A,United Tire & Service of Phoenixville,wheels_and_tires,17,4.5,13.00667291053274
I8Sl5TyuBPtIIxeSNrXr8w,3 J's Discount Tire,wheels_and_tires,17,4.5,13.00667291053274
x_f_PFhioqXz-yoBCaRaOg,Mina Motors,engine,24,4.0,12.875503299472802
EryhKE6cP5M_dZkp6DBNcQ,Girard Auto Body,body_and_exterior,12,5.0,12.824746787307683
1wJ6d3C8RnbZuNNBDCNHJA,Liberty Collision Center,body_and_exterior,16,4.5,12.749460048252972
KihXlum3VIjC3HzNPSYnvg,Garrison's Garage,wheels_and_tires,16,4.5,12.749460048252972
igwYBs1eElCrpgVebRfoTQ,United Tire & Service of Willow Grove,wheels_and_tires,16,4.5,12.749460048252972
XeJLOFPm9rxXKr2wVrd5ZA,Mr. Tire Auto Service Centers,wheels_and_tires,23,4.0,12.712215321391783
X1AeBeua7lzXCqxnLpq17g,11th Street Auto Repair,wheels_and_tires,15,4.5,12.476649250079015
ojUj5AuhqqO_n3LETA7X6w,"J & J Motors, Inc.",engine,11,5.0,12.424533248940001
NyE_IkAjdRhjw6Vyniq67w,Kens Automotive,wheels_and_tires,14,4.5,12.186225904959946
X63jIMRHYBvKKQDuJTRiQQ,Keystone Discount Tire,wheels_and_tires,20,4.0,12.178089750893692
pX8P31z1ixaMp3iViINrjA,KX Automotive,wheels_and_tires,10,5.0,11.989476363991853
vlaLpBMm4Hzz5PXkxBNzfg,Allen Tire & Service,wheels_and_tires,10,5.0,11.989476363991853
xfS0MaeCdPKrWZ277H7xzg,Overseas Motor Works,engine,10,5.0,11.989476363991853
sAhgC6Pq6q6z9lOr1zu9Cw,LNT Service,wheels_and_tires,10,5.0,11.989476363991853
bAspnkQQGhGm3yAEtpGDmQ,Airport Discount Tire & Auto,wheels_and_tires,13,4.5,11.875757983268663
UUegcQkfeZyMCW_BM01Z3A,Degovanni Collision Experts,body_and_exterior,13,4.5,11.875757983268663
lDM7JvIddDDMs637Cwkq7g,N E Shades,body_and_exterior,9,5.0,11.51292546497023
O5Ubf7QHTFCQQIFWkL_E8Q,Mr. Tire Auto Service Centers,wheels_and_tires,11,4.5,11.182079924046002
V66K00SZ-xOHuRXMC7jS9g,Meenan Transmissions,transmission,11,4.5,11.182079924046002
vHG_Ycuz0vNgQ4E6sxW0eg,Whitemarsh Collision,body_and_exterior,11,4.5,11.182079924046002
d9vJVJM2DifqWYN4Q4-gow,1939 Auto,wheels_and_tires,8,5.0,10.986122886681098
Mux7Uw6sHb4lUQMwJ3MR5A,Creamery Tire - Chalfont,wheels_and_tires,8,5.0,10.986122886681098
iVAw6Xl4051W1lUeLEUw3w,CK Auto Image Repairs,engine,8,5.0,10.986122886681098
QuQ3-hJk9DHXao9rMcKmaA,Macentee Auto Glass,body_and_exterior,8,5.0,10.986122886681098
jrcwhQO1T0Gz-tzMLUJm9g,Orsini's Auto Body,body_and_exterior,8,5.0,10.986122886681098
hzTMc4VJaW0q1CxEGFwQhg,Mavis Discount Tire,wheels_and_tires,14,4.0,10.83220080440884
6OcL1qGQfw8EL_pPLBbFJg,Ardmore Toyota,body_and_exterior,21,3.5,10.818648586754106
HkQ_ZTwjVMxBa3HISF5heg,John Gabriel Jr,wheels_and_tires,10,4.5,10.790528727592669
3c3okC0udBKZD_fASFrI-A,Mid City Tire & Auto,brakes,10,4.5,10.790528727592669
qwF3lZOtK8H3eVzcZIg8Gw,Collision Care Auto Body Centers,body_and_exterior,13,4.0,10.556229318461034
0zWYKUPvImD7ufl1RQ1jhw,Don's Auto Repair,body_and_exterior,7,5.0,10.39720770839918
KihXlum3VIjC3HzNPSYnvg,Garrison's Garage,body_and_exterior,9,4.5,10.361632918473207
KN3eSwdWBkB6VvoZCGpfQA,Ambler Tire & Auto,wheels_and_tires,9,4.5,10.361632918473207
KDKfiyYY7VER5GUZIQoSig,Pep Boys,wheels_and_tires,60,2.5,10.277184660433278
nrJE1NcVX04JsGmKrfErzQ,Allen Tire & Service,wheels_and_tires,12,4.0,10.259797429846147
